task_id,task_type,prompt,model_answer,rubric,judge_score,human_score
cls-002,classification,"Classify the user intent (complaint, inquiry, praise, or request). Text: 'I've been trying to use your service for hours and it's really slow, not sure if I'm doing something wrong or if there's an i…","**Intent: Complaint** (with an embedded inquiry element)

**Primary classification: Complaint**

The dominant intent is a complaint, indicated by:
- Expression of frustration (""trying for hours"")
- Negative experience with service performance (""really slow"")

**Secondary element: Inquiry**

There's…",complaint or inquiry,1.0,
ext-002,extraction,"Extract all mentioned locations and dates from: 'The conference will be held in San Francisco on March 15-17, 2024, and then moves to Berlin on April 5.'","- **Locations**: San Francisco, Berlin
- **Dates**: March 15-17, 2024; April 5","Locations: San Francisco, Berlin; Dates: March 15-17 2024, April 5",1.0,
gen-001,short_generation,"Rewrite this sentence in a more formal tone: 'Hey, I just wanted to check if you got my email about the meeting.'",I hope this message finds you well. I would like to inquire whether you received my email regarding the meeting.,"A good answer rewrites the casual tone to formal, maintaining the meaning: something like 'I wanted to confirm receipt of my email regarding the meeting.'",1.0,
gen-002,short_generation,"Summarize the following in 1-2 sentences: 'The recent study found that people who exercise regularly have better cognitive function, improved mood, and lower rates of depression. Exercise also increa…","Regular exercise is linked to better cognitive function, improved mood, and lower depression rates, largely due to increased brain blood flow and the growth of new neurons.","A good summary captures the key benefits (cognitive function, mood, mental health) and the mechanisms (increased blood flow, neurogenesis).",1.0,
rsn-001,reasoning,"If all cats are animals and Fluffy is a cat, is Fluffy an animal? Explain your reasoning.","Yes, Fluffy is an animal.

**The reasoning:**

This is a classic example of a valid logical argument called a **syllogism**. It works by connecting two premises to reach a necessary conclusion:

1. **Premise 1:** All cats are animals. (Every member of the ""cats"" category is also in the ""animals"" ca…","A correct answer applies logical deduction: Yes, because Fluffy is a cat and all cats are animals, therefore Fluffy must be an animal.",1.0,
rsn-002,reasoning,"Three people (Alice, Bob, Carol) each own a different colored car (red, blue, green). Alice's car is not blue. Bob's car is not green. The green car owner has a name starting with 'C'. Who owns the g…","# Solving the Car Color Puzzle

## Given Clues
1. Alice's car is not blue
2. Bob's car is not green
3. The green car owner's name starts with 'C'

## Step-by-Step Reasoning

**Step 1: Identify the green car owner.**

From Clue 3, the green car owner's name starts with 'C'. Among Alice, Bob, and Car…",Correct answer: Carol owns the green car and Bob's car is blue (with Alice's being red). The reasoning should show elimination of possibilities based on the constraints.,1.0,
cls-007,classification,"Classify the tone of this workplace email and briefly justify your choice: 'Per my last email, I need this deliverable by end of day. I've flagged this twice already.'","The tone is **frustrated and impatient**.

**Justification:** The phrase ""per my last email"" is a standard but often passive-aggressive reference to a previous unheeded request. The emphasis on urgency (""need this by end of day"") combined with the explicit declaration of repeated follow-ups (""flagg…","A good answer identifies the tone as passive-aggressive/frustrated and pointed, noting that the phrase 'per my last email' plus mentioning it was flagged twice signals irritation at being ignored.",1.0,
cls-008,classification,"Classify the sentiment of this product review, and briefly justify your choice: 'The build quality is fantastic and it looks great on my desk, but the battery life is so disappointing I almost return…","Sentiment: Mixed (or ""Negative-leaning Mixed"")

Justification: The reviewer clearly splits the feedback—praising the build quality and appearance (""fantastic,"" ""looks great"") while strongly criticizing the battery life (""so disappointing I almost returned it""). The battery complaint outweighs the p…","A good answer recognizes this as mixed/neutral sentiment (positive on build quality, negative on battery life) rather than forcing a single strong label, and explains the split.",1.0,
ext-006,extraction,"Extract the job title, required years of experience, and salary range from this posting: 'We're hiring a Senior Backend Engineer! Requires 5+ years of experience with distributed systems. Compensatio…","Here is the extracted information from the job posting:

- **Job Title:** Senior Backend Engineer
- **Required Years of Experience:** 5+ years
- **Salary Range:** $140,000 - $170,000 annually","A good answer lists all three fields correctly: job title = Senior Backend Engineer, experience = 5+ years, salary range = $140,000-$170,000.",1.0,
ext-007,extraction,"Extract all action items and their owners from this meeting note: 'Quick recap of today's sync - Maria's going to follow up with legal on the contract redlines, hopefully by Friday. We also decided t…","# Action Items

| # | Action Item | Owner | Deadline |
|---|-------------|-------|----------|
| 1 | Follow up with legal on the contract redlines | Maria | By Friday (target) |
| 2 | Notify the team about the marketing launch slipping by a week | Devon | Not specified |
| 3 | Review the updated roa…","A good answer identifies: (1) Maria - follow up with legal on contract redlines, by Friday; (2) Devon - notify the team that the marketing launch is delayed a week; (3) everyone/the team - review the updated roadmap doc before next week's meeting; (4) Priya - send a reminder about the roadmap review. Partial credit for capturing most items with correct owners.",1.0,
